# step, energy, mass, x-momentum, y-momentum, z-momentum 
253 5.8112329e+08 2.3266136e+03 2.1216931e+05 3.3632134e+04 0.0000000e+00
254 5.7636587e+08 2.3088188e+03 2.1055228e+05 3.3392648e+04 0.0000000e+00
255 5.7161464e+08 2.2909589e+03 2.0898768e+05 3.3131459e+04 0.0000000e+00
256 5.6686027e+08 2.2731725e+03 2.0737320e+05 3.2845475e+04 0.0000000e+00
257 5.6219149e+08 2.2556149e+03 2.0580863e+05 3.2571346e+04 0.0000000e+00
258 5.5756475e+08 2.2381665e+03 2.0428422e+05 3.2269771e+04 0.0000000e+00
259 5.5297860e+08 2.2209284e+03 2.0272858e+05 3.1951907e+04 0.0000000e+00
260 5.4844162e+08 2.2038257e+03 2.0117854e+05 3.1622199e+04 0.0000000e+00
261 5.4402892e+08 2.1870510e+03 1.9970540e+05 3.1300852e+04 0.0000000e+00
262 5.3960678e+08 2.1703410e+03 1.9816685e+05 3.1012695e+04 0.0000000e+00
263 5.3527225e+08 2.1539429e+03 1.9669895e+05 3.0701038e+04 0.0000000e+00
264 5.3103925e+08 2.1379093e+03 1.9523237e+05 3.0374760e+04 0.0000000e+00
265 5.2685904e+08 2.1220413e+03 1.9380334e+05 3.0050915e+04 0.0000000e+00
266 5.2273418e+08 2.1063727e+03 1.9233931e+05 2.9700650e+04 0.0000000e+00
267 5.1870499e+08 2.0910823e+03 1.9091278e+05 2.9424367e+04 0.0000000e+00
268 5.1474921e+08 2.0760952e+03 1.8942661e+05 2.9126973e+04 0.0000000e+00
269 5.1091353e+08 2.0614645e+03 1.8805609e+05 2.8826244e+04 0.0000000e+00
270 5.0713626e+08 2.0470373e+03 1.8667302e+05 2.8523638e+04 0.0000000e+00
271 5.0340526e+08 2.0328388e+03 1.8527204e+05 2.8199942e+04 0.0000000e+00
272 4.9977369e+08 2.0190108e+03 1.8389229e+05 2.7935253e+04 0.0000000e+00
273 4.9624305e+08 2.0054856e+03 1.8256405e+05 2.7657051e+04 0.0000000e+00
274 4.9282394e+08 1.9924526e+03 1.8126763e+05 2.7373864e+04 0.0000000e+00
275 4.8949189e+08 1.9797545e+03 1.7990758e+05 2.7106967e+04 0.0000000e+00
276 4.8627068e+08 1.9675080e+03 1.7860726e+05 2.6825125e+04 0.0000000e+00
277 4.8317287e+08 1.9558405e+03 1.7733507e+05 2.6610455e+04 0.0000000e+00
278 4.8020996e+08 1.9447008e+03 1.7611846e+05 2.6422263e+04 0.0000000e+00
279 4.7734435e+08 1.9340420e+03 1.7497360e+05 2.6255176e+04 0.0000000e+00
280 4.7455559e+08 1.9238782e+03 1.7372456e+05 2.6119107e+04 0.0000000e+00
281 4.7186311e+08 1.9142159e+03 1.7254810e+05 2.5955386e+04 0.0000000e+00
